customer_id,first_name,last_name,birth_date,phone,address,city,points
4001,Megan,Chang,1983-01-04,4876475938,"2194 Kyle Stream","Port Gabriellafort",CT
4002,Michael,Stewart,1997-12-20,877.840.8016,"753 Padilla Circles","New Jeffrey",FL
4003,Linda,West,1959-11-12,871-484-1858x39894,"96593 White View Apt. 094",Jonesberg,FL
4004,Sandra,Kirby,2001-12-23,+1-684-833-9694,"5159 Tom Roads Suite 330",Davebury,WY
4005,George,Simmons,1958-08-15,230-989-1013,"1510 James Ferry","South Jasonton",AK
4006,Amy,Oliver,1972-01-29,314-562-0870,"634 Strong Mountains","Lake Emily",AR
4007,Kristina,Moore,1965-05-30,841-972-0769x84564,"071 Stevenson Plains",Dennisfort,RI
4008,Keith,Howard,1997-07-07,+1-246-610-9352x337,"960 Savage Port Suite 027","West Jacquelinemouth",NM
4009,Rebecca,Munoz,1954-05-24,7547063812,"6503 Jennifer Alley","East Davidborough",ME
4010,Joshua,Good,1961-03-17,610.471.4285x1240,"34855 Meghan Squares",Josephmouth,NE
4011,Nathan,Medina,1968-07-13,(940)224-5551x5900,"29456 Kelly Neck Apt. 042","West Richardmouth",MT
4012,Daniel,Hoffman,1987-02-18,551.717.6045x2296,"13306 Corey Point",Shanefort,OR
4013,Jennifer,Robinson,1960-01-31,(349)263-5110x873,"6430 Cindy Cove","South Nicholas",FL
4014,Daniel,Carlson,1987-08-04,(966)875-7738,"55508 Nancy Rapids","Port Nicholas",VT
4015,Jasmine,Ruiz,1960-02-24,013.204.0752x27586,"189 Julie Throughway","West Amanda",MT
4016,Margaret,Olson,1980-10-30,+1-930-024-8945x174,"6602 John Stream Suite 007",Thomasland,UT
4017,Edward,Hatfield,1982-05-14,9767017200,"518 Lee Tunnel",Rodriguezton,UT
4018,Tanner,Chen,1977-05-19,+1-194-264-1830x6753,"1007 Santana Pike Apt. 318",Hunterville,NE
4019,Patricia,Henderson,1960-02-09,611-620-7660,"4151 Michael Burgs Suite 520","Port Michael",FL
4020,Jared,Harris,2000-03-28,001-104-509-3227x1754,"35574 Giles Plaza",Jackland,ND
4021,Beverly,Moore,1964-05-21,(358)332-4560,"061 David Hills",Yangberg,NE
4022,Kenneth,Gomez,1971-04-09,580.660.6573x547,"14189 Laura Mission",Lopezchester,HI
4023,John,Chavez,1990-01-01,(571)734-0797,"41489 Roger Terrace",Davisfort,IN
4024,Amy,Sullivan,1997-05-27,1400468967,"454 Caitlin Camp","Port Joseside",DE
4025,Alyssa,Wright,2006-03-30,(164)482-9838,"8644 Watson Road","East David",MS
4026,Richard,Mcdonald,1992-06-21,+1-457-637-7857x07427,"305 Myers Branch","Lake Michellefurt",MN
4027,Blake,Oliver,1972-10-14,+1-432-943-1675x6256,"72852 Renee Mills Suite 667",Blairborough,IL
4028,Brenda,Williams,1980-10-25,3125023949,"845 Ellis Roads",Carpenterfort,VT
4029,Thomas,Rogers,1957-04-06,0250402163,"373 Franklin Rest Apt. 558",Barryview,NC
4030,Bradley,Wood,1968-08-26,533.444.8647x53048,"77706 Stevens Crest","North Johnberg",IL
